investor_id,fund_code,transaction_type,amount,transaction_date,kyc_status,state
1,125497,SIP,5000,2026-01-10,VERIFIED,Andhra Pradesh
2,119551,Lumpsum,10000,2026-02-15,VERIFIED,Telangana
3,120503,Redemption,2000,2026-03-20,PENDING,Karnataka
4,118632,SIP,3000,2026-04-25,VERIFIED,Tamil Nadu
5,120841,Lumpsum,15000,2026-05-30,REJECTED,Kerala
6,119092,SIP,2500,2026-06-05,VERIFIED,Maharashtra
7,125497,Redemption,1000,2026-06-10,PENDING,Delhi
8,119551,SIP,4000,2026-06-15,VERIFIED,Gujarat
9,120503,Lumpsum,12000,2026-06-20,VERIFIED,Punjab
10,118632,SIP,3500,2026-06-22,VERIFIED,Odisha
11,120841,SIP,4500,2026-06-25,VERIFIED,Bihar
12,119092,Lumpsum,18000,2026-06-28,PENDING,Assam
13,125497,SIP,5000,2026-07-01,VERIFIED,Haryana
14,119551,Redemption,2500,2026-07-03,VERIFIED,Rajasthan
15,120503,SIP,6000,2026-07-05,VERIFIED,Uttar Pradesh
16,118632,Lumpsum,22000,2026-07-08,PENDING,West Bengal
17,120841,SIP,3500,2026-07-10,VERIFIED,Chhattisgarh
18,119092,Redemption,2000,2026-07-12,VERIFIED,Jharkhand
19,125497,Lumpsum,25000,2026-07-15,VERIFIED,Goa
20,119551,SIP,4500,2026-07-18,PENDING,Andhra Pradesh
21,120503,SIP,3000,2026-07-20,VERIFIED,Telangana
22,118632,Redemption,1500,2026-07-22,VERIFIED,Karnataka
23,120841,Lumpsum,17000,2026-07-25,VERIFIED,Tamil Nadu
24,119092,SIP,2800,2026-07-28,PENDING,Kerala
25,125497,SIP,5200,2026-07-30,VERIFIED,Maharashtra
